Name,Status,Players,Mechanisms
101: the match,public,1-2,
12 Chip Trick,public,2-4,Cards|Auction|Trick-taking
13 Clues,public,2-6,Cards|Combos|Race|Communication|Roles
15 Days,public,2-4,Hand management|Collection
24/7: The Game,public,2-4,Tile placement
3000 Scoundrels,public,2-4,Cards|Bluffing|Engine building
31,beta,2-8,Cards|Hand management|Collection|Player elimination
42,beta,3-4,Team|Auction|Trick-taking
6 nimmt!,public,2-10,Cards|Hand management
61 Autumn leaves,public,2-12,Dice|Roll & Write
7 Wonders,public,3-7,Cards|Drafting
7 Wonders Architects,public,2-7,Cards|Collection
7 Wonders Duel,public,2,Cards
8 Masters' Revenge,public,2,Cards|Hand management|Combos
99 (addition card game),public,2-12,Cards|Hand management|Random
99 (trick-taking card game),public,3-4,Cards|Trick-taking
A Feast for Odin,public,1-4,Cards|Worker placement|Tile placement
A Feast for Odin,alpha,1-4,
A Fistful of Gold,public,2,Cards|Hand management
A Gest of Robin Hood,alpha,2,Cards
AVES,beta,2-5,Cards|Hand management|Collection|Drafting
Abalone,public,2,
Abandon All Artichokes,public,2-4,Cards|Race|Deck Building
Abyss,public,2-5,Cards|Hand management|Collection|Auction|Push your luck
After Us,public,2-6,Cards|Race|Deck Building
Age of Champagne,public,1-4,Worker placement|Resource management|Engine building
Age of Civilization,public,2-4,Worker placement|Resource management
Agony Aunt,alpha,4,Trick-taking
Agricola,public,1-4,Cards|Worker placement|Resource management
Akropolis,public,1-4,Tile placement
Alakablast,beta,2-5,Hand management
Alhambra,public,2-6,Hand management|Tile placement|Area Majority|Collection
All In,beta,2-5,Cards|Collection|Roll & Write
Almadi,public,2-5,Tile placement|Collection
Altered,beta,2,Cards|Combos
Alveole,public,2,
Amalfi - Renaissance,public,1-4,Cards|Objectives|Resource management
Amazonas,public,2-4,Collection
Amerigo,alpha,2-4,Tile placement
Amyitis,public,2-4,Collection|Resource management
Anachrony,public,1-4,Worker placement|Asymmetrical|Objectives|Resource management|Engine building
Ancient Knowledge,public,2-4,Cards|Hand management|Drafting
Aniversus,beta,2,Cards|Asymmetrical
Apocalypse at the Zoo of Carson City,public,2-4,Cards|Collection
Applejack,public,1-4,Tile placement
Architects of the West Kingdom,public,2-5,Worker placement|Asymmetrical|Resource management
Arctic,alpha,2-4,Cards|Hand management|Collection
Arctic Scavengers,public,2-5,Cards|Hand management|Deck Building
Ark Nova,public,1-4,Hand management|Tile placement|Collection|Drafting
Armadöra,public,2-4,Bluffing|Area Majority
Art Decko,public,2-4,Cards|Hand management|Collection
Art Thief,public,1-2,Cards|Tile placement|Cooperative
Assyria,public,2-4,Hand management
Astra,public,2-5,Cards
Auntie Mildred's list of random tasks,alpha,2,Dice|Worker placement|Race
Aurum,alpha,3-4,Cards|Trick-taking
Automobiles,public,2-5,Hand management|Race|Deck Building
Azul,public,2-4,Tile placement|Drafting
Azul: Summer Pavilion,public,2-4,Tile placement|Drafting
BANG!,public,4-7,Team|Roles|Player elimination
BANG! Expansions,alpha,2-7,Team|Roles|Player elimination
Baby Dinosaur Rescue,public,1-4,Cards|Hand management|Race|Cooperative
Backgammon,public,2,Dice|Race
Bacon,public,3-6,Cards|Hand management|Team|Trick-taking
Bag of Chips,public,2-5,Objectives
Bahama Taxi,public,2-8,Cards|Race
Balloon Pop!,public,1-10,Dice|Roll & Write
Bamboozle,beta,2,Bluffing
Band of Brothers: Screaming Eagles,alpha,1-2,
Bandada,public,1-2,Cards
Bandido,public,1-4,Cards|Tile placement|Cooperative
Bao la Kiswahili,public,2,
Barbu,public,3-5,Cards|Trick-taking
Barrage,public,1-4,Worker placement|Engine building
Batalla de Coronas,beta,2,Dice|Worker placement|Push your luck
Battle Sheep,public,2-4,Tile placement|Conquest
Battle Spirits Saga,public,1-2,Cards|Hand management|Collection|Engine building
Battle of LITS,public,2,Tile placement
Battleships Pencil & Paper,public,2,
Bauer,alpha,2-5,Cards
Beam Me Up!,alpha,2,
Belladone Bluff,beta,2-4,Cards
Belote,public,4,Cards|Team|Trick-taking
Betta,public,1-4,Tile placement|Collection
Beyond the Sun,public,2-4,Worker placement|Area Majority|Objectives|Engine building
Bids,public,3-6,Hand management|Auction
Big Monster,public,2-6,Tile placement|Collection|Asymmetrical|Team|Drafting
Big Time Soccer,public,2,Cards|Dice|Hand management
Big Two,public,2-4,Cards|Hand management|Trick-taking
Biomos,public,2-4,Tile placement|Objectives
Biyi,public,2,
Blackjack,beta,1-7,Cards|Push your luck|Player elimination
Blaze,public,3-5,Cards|Hand management
Block Arena,beta,2,
Blood Rage,public,2-5,Cards|Hand management|Bluffing|Area Majority|Conquest|Drafting
Blooms,public,2,Area Majority
Blot,beta,2-5,Cards|Collection|Trick-taking
Bloxo,beta,2-4,Tile placement
Blue Skies,public,2-5,Hand management|Area Majority
Bobail,public,2,
Bohnanza,alpha,3-5,Cards|Hand management|Collection
Bombay,public,2-5,Collection
Bonsai,beta,1-4,Cards|Tile placement|Objectives|Resource management
Boomerang,alpha,3-5,Area Majority|Collection
Boomerang: Australia,public,2-4,Cards|Collection|Roll & Write|Drafting
Boomerang: Europe,public,2-4,Cards|Collection|Roll & Write|Drafting
Boomerang: USA,public,2-4,Cards|Collection|Roll & Write|Drafting
Boreal,public,2,
Boss Quest,public,2-5,Cards|Push your luck
Botanicus,beta,2-4,Worker placement|Tile placement
Botanik,beta,2,
Bouncers,alpha,3,Trick-taking
Break the Code,public,2-4,Communication
Briscola,public,2-5,Cards|Hand management|Bluffing|Team|Auction|Trick-taking
Bubblee Pop,public,2,
Bug,public,2,
Bunny Kingdom,public,2-4,Drafting
Burgle Bros.,public,1-4,Cooperative|Asymmetrical
Butterfly,public,2-5,Collection
Buttons,public,2-4,Dice|Collection
BuyWord,public,1-4,Word games
Bärenpark,public,2-4,Tile placement|Collection|Objectives
CATAN,public,3-4,Hand management|Resource management
Cacao,public,2-4,Tile placement|Combos|Area Majority|Resource management
Cairo Corridor,alpha,2,Tile placement
Calypso,beta,4,Cards|Combos|Trick-taking
Can't Stop,public,2-4,Dice|Race|Push your luck
Can't Stop Express,public,1-10,Dice|Roll & Write
Canasta,beta,2-4 or 6,Cards|Hand management|Collection|Team
Cannonades,beta,2-5,Cards|Player elimination
Canosa,public,2,
Canvas,public,1-5,Cards|Collection|Drafting
Caper: Europe,public,2,Cards|Hand management|Drafting
Captain Flip,public,2-5,Tile placement|Collection|Push your luck
Capybara'n'Capyabara,alpha,2-4,Cards|Collection
Caravan,public,2-4,Race|Collection
Carcassonne,public,2-5,Tile placement
Carcassonne: Hunters & Gatherers,public,2-5,Tile placement
Cardiceo,public,2-6,Cards|Dice|Hand management
Caribbean All Fours,public,4,Cards|Trick-taking
Carnegie,public,1-4,Worker placement|Area Majority|Engine building
Cartographers,public,1-12,Tile placement|Roll & Write
Castle Combo,beta,2-5,Tile placement|Combos
Castles of Caleira,public,2,Cards|Hand management|Collection
Cat Café,public,2-4,Roll & Write
Cat in the Box: Deluxe Edition,public,2-5,Cards|Hand management|Trick-taking
Catan,alpha,3-4,
Caverna,public,1-7,Worker placement
Caylus,public,2-5,Worker placement
Caïrn,public,2,Combos|Conquest
Celestia,public,4-6,Cards|Dice|Bluffing
Century: Spice Road,public,2-5,Cards|Hand management|Combos
Cephalopod,public,2,Dice|Area Majority
Chakra,public,2-4,Combos|Collection
Challengers,public,1-8,Cards|Deck Building
Champions of Midgard,alpha,2-4,Dice|Worker placement
Checkers,public,2,
Cheez-Tricks,beta,2-5,Objectives|Trick-taking
Chemical Overload,beta,2-4,Deck Building
Chess,public,2,
Chicago Express,public,2-6,
Chimera,alpha,3,Cards|Hand management|Team|Auction|Trick-taking
Chimera Station,beta,2-4,Worker placement
China Gold,public,2,
Chinese checkers,public,2-4 or 6,Race
Chocolate Factory,public,1-4,Combos|Objectives|Resource management|Engine building
Chromino,public,1-8,Tile placement
Cicera Bigia,alpha,2 or 4,Cards
Cinco,public,2-4 or 6,Hand management
Circle Of Life: on the Savannah,beta,2-5,Cards
Circle of Life,public,2,Area Majority
Citadels,beta,2-8,Cards|Bluffing|Collection|Roles
City of the Big Shoulders,public,2-4,Worker placement|Resource management
Claim,beta,2-4,Cards|Area Majority|Team|Auction|Trick-taking
Clans of Caledonia,public,1-4,Worker placement|Resource management
Clash of Decks,public,2,Cards|Hand management|Asymmetrical
Cloud City,public,1-4,Tile placement
Coal Baron,public,2-4,Worker placement|Area Majority|Resource management
Codex Naturalis,public,2-4,Cards|Tile placement|Objectives
Coin Age,beta,2,Area Majority
Coinche,public,4,Cards|Team|Trick-taking
Coins,public,3,Cards|Bluffing|Random|Trick-taking
Color Flush,public,3-6,Cards|Area Majority|Collection
Color Pop,public,2-5,Collection
Colorado,public,2-4,Roll & Write
Coloretto,public,2-5,Cards|Area Majority|Collection
Colour Scapes,alpha,1-4,Tile placement
Colt Express,public,2-6,Hand management|Bluffing|Collection
Commander Chess,public,2,
Con Sonar!,public,2-6,Cards|Dice
Concept,public,2-12,Cooperative|Communication
Connect Four,public,2,
Connect6,public,2,
Conspiracy,public,1-4,Cards|Tile placement|Combos|Collection
Cookie Addict!,beta,2,
Copenhagen,public,2-4,Cards|Hand management|Tile placement
Cosmoctopus,beta,1-4,Cooperative|Resource management|Engine building
Cosmos: Empires,public,2-8,Engine building
Coup,public,2-8,Cards|Bluffing|Speed|Roles|Player elimination
Coupell,beta,2,Cards|Hand management|Cooperative|Word games
Cradle to Grave,beta,2-5,Cards|Hand management
Crazy Eights,beta,2-8,Cards|Random
Crazy Farmers,public,2-4,Tile placement
Cribbage,public,2,Cards|Hand management|Combos
Crime Zoom: A Dirty Objective,public,1-6,Cooperative
Crisps,public,2,Cards|Hand management|Trick-taking
Crusaders: Thy Will Be Done,public,2-6,
Crypt,public,2-4,Cards|Dice|Collection
CuBirds,public,2-5,Cards|Hand management|Collection
Cubosaurs,public,2-5,Cards|Collection
Cucumber,beta,2-8,Cards|Trick-taking|Player elimination
D.E.I.: Divide et Impera,public,2-4,Cards|Worker placement|Area Majority|Objectives|Resource management
DIG UP Adventure,public,2-4,
DVONN,beta,2,Tile placement
Dai Hasami Shogi,alpha,2,
Dance of Muses,alpha,2-4,Cards|Tile placement
Dark Agent,public,1-6,Cards|Combos
Darwin's Journey,alpha,1-4,Worker placement
Daybreak,public,1-4,Cooperative|Resource management|Roles|Engine building
Decrypto,public,4-8,Team|Word games
Deliverance,alpha,1-4,Cards|Dice|Hand management|Combos|Cooperative|Asymmetrical|Conquest|Objectives|Resource management|Roles|Engine building|Drafting
Detective Poker,public,3-4,Cards|Bluffing
Deus,public,2-4,Hand management|Conquest|Objectives|Engine building
Diablo,public,2,Dice|Player elimination
Diam's,public,2-5,Cards|Hand management|Collection
Diamonds,alpha,2-6,Cards|Hand management|Team|Trick-taking
Dice Forge,public,2-4,Dice|Combos|Engine building
Dice Hospital,public,2-4,Dice|Worker placement|Tile placement|Combos
Dice Hospital: ER – Emergency Roll,public,2-6,Dice|Roll & Write
Dice Summoners,public,2,Cards|Dice|Hand management|Combos|Drafting
Dice Theme Park,public,2-4,Dice|Worker placement|Hand management|Tile placement
Diceathlon,public,1-12,Dice
Diced Tomatoes,public,1-6,Dice|Collection|Push your luck
Dicy Cards,beta,2-4,Dice|Push your luck
